Jobs	Body	Belt	Pants	Gloves	Boots	Helm	Weapon	Shields	Rings	Wrist	Necklace	Earrings
Warrior	369	140	284	235	245	373	103	0	235	206	199	204
Paladin	369	140	284	235	245	373	111	111	235	206	199	204
Monk	301	114	243	183	212	322	103	0	235	206	199	204
Dragoon	335	118	253	207	224	353	104	0	235	206	199	204
Bard	301	114	243	183	212	323	103	0	235	206	199	204
White Mage	257	85	196	150	164	281	131	38	235	206	199	204
Black Mage	257	85	196	150	164	280	121	36	235	206	199	204
Scholar	257	85	196	150	164	281	94	0	235	206	199	204
Summoner	257	85	196	150	164	280	94	0	235	206	199	204
Ninja	301	114	243	183	212	322	94	0	235	206	199	204
